Subject,Start Date,Start Time,Location,Description,,,,Score
@ New Jersey,12/17/2011,2:00 PM,Prudential Center,Preseason - New York Knicks @ New Jersey Nets on MSG~ NBA TV,12/17/2011,2:00 PM,False,92-83
vs. New Jersey,12/21/2011,7:30 PM,Madison Square Garden,Preseason - New York Knicks Vs. New Jersey Nets on MSG,12/21/2011,7:30 PM,False,88-82
vs. Boston,12/25/2011,12:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Boston Celtics on ,12/25/2011,12:00 PM,False,106-104
@ Golden State,12/28/2011,10:30 PM,ORACLE Arena,Regular Season - New York Knicks @ Golden State Warriors on MSG~ NBA TV,12/28/2011,10:30 PM,False,78-92
@ L.A.Lakers,12/29/2011,10:30 PM,Staples Center,Regular Season - New York Knicks @ Los Angeles Lakers on ,12/29/2011,10:30 PM,False,82-99
@ Sacramento,12/31/2011,8:00 PM,Power Balance Pavilion,Regular Season - New York Knicks @ Sacramento Kings on MSG,12/31/2011,8:00 PM,False,114-92
vs. Toronto,01/02/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Toronto Raptors on MSG,01/02/2012,7:30 PM,False,85-90
vs. Charlotte,01/04/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Charlotte Bobcats on MSG,01/04/2012,7:30 PM,False,110-118
@ Washington,01/06/2012,7:00 PM,Verizon Center,Regular Season - New York Knicks @ Washington Wizards on MSG,01/06/2012,7:00 PM,False,99-96
@ Detroit,01/07/2012,7:30 PM,Palace of Auburn Hills,Regular Season - New York Knicks @ Detroit Pistons on MSG,01/07/2012,7:30 PM,False,103-80
vs. Charlotte,01/09/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Charlotte Bobcats on MSG~ NBA TV,01/09/2012,7:30 PM,False,91-87
vs. Philadelphia,01/11/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Philadelphia 76ers on MSG,01/11/2012,7:30 PM,False,85-79
@ Memphis,01/12/2012,8:00 PM,FedExForum,Regular Season - New York Knicks @ Memphis Grizzlies on ,01/12/2012,8:00 PM,False,83-94
@ Oklahoma City,01/14/2012,8:00 PM,Chesapeake Energy Arena,Regular Season - New York Knicks @ Oklahoma City Thunder on MSG,01/14/2012,8:00 PM,False,92-104
vs. Orlando,01/16/2012,1:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Orlando Magic on MSG,01/16/2012,1:00 PM,False,93-102
vs. Phoenix,01/18/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Phoenix Suns on MSG,01/18/2012,7:30 PM,False,88-91
vs. Milwaukee,01/20/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Milwaukee Bucks on MSG,01/20/2012,7:30 PM,False,86-100
vs. Denver,01/21/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Denver Nuggets on MSG~ NBA TV,01/21/2012,7:30 PM,False,114-119
@ Charlotte,01/24/2012,7:00 PM,Time Warner Cable Arena,Regular Season - New York Knicks @ Charlotte Bobcats on MSG,01/24/2012,7:00 PM,False,111-78
@ Cleveland,01/25/2012,7:00 PM,Quicken Loans Arena,Regular Season - New York Knicks @ Cleveland Cavaliers on MSG,01/25/2012,7:00 PM,False,81-91
@ Miami,01/27/2012,8:00 PM,American Airlines Arena,Regular Season - New York Knicks @ Miami Heat on MSG~ ESPN,01/27/2012,8:00 PM,False,89-99
@ Houston,01/28/2012,8:00 PM,Toyota Center,Regular Season - New York Knicks @ Houston Rockets on MSG,01/28/2012,8:00 PM,False,84-97
vs. Detroit,01/31/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Detroit Pistons on MSG,01/31/2012,7:30 PM,False,113-86
